uptime_s,temp_mc,cur_khz,underruns_delta,game
1127,36475,1608000,0,1
1147,37413,1608000,0,1
1167,37480,1608000,0,1
1187,37480,1608000,0,1
1207,37413,1608000,0,1
1227,37480,1608000,0,1
1247,37480,1608000,0,1
1268,38217,1608000,0,1
1288,39892,1608000,0,1
1308,38619,1608000,0,1
1328,38016,1608000,0,1
1348,37748,1608000,0,1
1368,39356,1608000,0,1
1388,38887,1608000,0,1
1408,38016,1608000,0,1
1428,38016,1608000,0,1
1448,39222,1608000,0,1
1468,36743,1608000,0,1
1488,38686,1608000,0,1
1509,39490,1608000,0,1
1529,38619,1608000,0,1
1549,38351,1608000,0,1
1569,38887,1608000,0,1
1589,38351,1608000,0,1
1609,38686,1608000,0,1
