uptime_s,temp_mc,khz,gov,batt,load1
101,39557,1200000,userspace,22,1.43
121,39490,1200000,userspace,22,1.38
142,39356,1200000,userspace,22,1.34
162,39691,1200000,userspace,22,1.38
182,39289,1200000,userspace,22,1.33
203,39155,1200000,userspace,22,1.32
223,38954,1200000,userspace,22,1.31
243,38619,1200000,userspace,22,1.28
264,39222,1200000,userspace,22,1.27
284,38686,1200000,userspace,22,1.33
305,38820,1200000,userspace,21,1.47
325,38954,1200000,userspace,21,1.45
345,38284,1200000,userspace,21,1.32
366,38418,1200000,userspace,21,1.37
387,38686,1200000,userspace,21,1.34
408,38016,1200000,userspace,21,1.46
428,37748,1200000,userspace,21,1.33
449,37547,1200000,userspace,21,1.30
469,37413,1200000,userspace,21,1.29
490,38016,1200000,userspace,21,1.28
510,38150,1200000,userspace,21,1.33
530,37480,1200000,userspace,20,1.24
551,37614,1200000,userspace,20,1.23
571,38016,1200000,userspace,20,1.38
